Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/06/23 16:11:48","MATRIX","Arcade",3,"true"
Results,"Toys in the Hood 1 R",13
#,Player,Car,Time,BestLap,Finished,Cheating
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","02:28:886","00:48:063","true","false"
02,"AHMA","NY 54","02:39:148","00:50:393","true","false"
03,"IURI","Vixen","02:45:119","00:51:249","true","false"
04,"KILABARUS","Kyarus","02:45:565","00:51:052","true","false"
05,"LOQ","Wild Ride","02:45:956","00:51:507","true","false"
06,"BONCZY","Ultima","02:48:792","00:52:645","true","false"
07,"KONDRAKOV67","LMW","02:50:577","00:50:759","true","false"
08,"VARSA","Star Carbs","02:54:866","00:52:620","true","false"
09,"ALDAMA757","Dr. Grudge","02:56:458","00:53:596","true","false"
10,"GREY","Mongoose","02:57:108","00:56:054","true","false"
11,"RADIANCER","Off Gear","02:57:166","00:53:687","true","false"
12,"MATRIX","Vixen","02:57:842","00:54:165","true","false"
13,"OWEOWE","Mystery","02:58:932","00:56:915","true","false"
14,"&","Groovster","02:59:499","00:55:984","true","false"
15,"ZIGC","Dr. Grudge","03:01:871","00:57:582","true","false"
16,"ZERNAMIO","Mongoose","03:12:889","00:59:195","true","false"
Results,"Hospital 1",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KONDRAKOV67","Frograph","02:22:480","00:45:540","true","false"
02,"KILABARUS","Kyarus","02:24:780","00:45:717","true","false"
03,"OWEOWE","Mystery","02:32:724","00:48:634","true","false"
04,"IURI","Vixen","02:34:018","00:45:504","true","false"
05,"AHMA","NY 54","02:34:358","00:47:460","true","false"
06,"VARSA","Star Carbs","02:38:944","00:49:759","true","false"
07,"BONCZY","Ultima","02:44:301","00:51:199","true","false"
08,"ALDAMA757","Dr. Grudge","02:46:250","00:52:360","true","false"
09,"GREY","Mongoose","02:47:109","00:50:626","true","false"
10,"RADIANCER","Off Gear","02:51:310","00:52:964","true","false"
11,"MATRIX","Vixen","02:52:066","00:47:819","true","false"
12,"BGM","Wild Ride","02:52:412","00:56:828","true","false"
13,"LOQ","Wild Ride","02:52:988","00:54:673","true","false"
14,"&","Groovster","02:53:040","00:56:056","true","false"
15,"ZIGC","Dr. Grudge","02:56:210","00:55:015","true","false"
Results,"Fairground 2",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"AHMA","NY 54","03:19:369","01:02:609","true","false"
02,"IURI","Vixen","03:20:441","00:59:867","true","false"
03,"RADIANCER","Off Gear","03:22:324","01:03:000","true","false"
04,"BGM","Wild Ride","03:23:209","01:02:542","true","false"
05,"GREY","Mongoose","03:25:267","01:06:978","true","false"
06,"VARSA","Star Carbs","03:26:875","01:08:015","true","false"
07,"OWEOWE","Mystery","03:29:860","01:06:172","true","false"
08,"ALDAMA757","Dr. Grudge","03:30:712","01:07:409","true","false"
09,"KONDRAKOV67","Frograph","03:33:185","01:10:624","true","false"
10,"BONCZY","Ultima","03:35:512","01:09:266","true","false"
11,"&","Groovster","03:41:140","01:05:813","true","false"
12,"MATRIX","Vixen","03:44:217","01:07:319","true","false"
13,"ZIGC","Dr. Grudge","03:44:293","01:08:632","true","false"
Results,"Game Room 2 R",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KONDRAKOV67","Frograph","02:37:068","00:48:549","true","false"
02,"IURI","Vixen","02:41:140","00:50:598","true","false"
03,"ERZU","Vixen","02:43:148","00:48:521","true","false"
04,"ROG_97 MOBILE","Mystery","02:44:754","00:49:625","true","false"
05,"KILABARUS","Kyarus","02:46:957","00:50:654","true","false"
06,"BGM","Wild Ride","02:51:515","00:54:821","true","false"
07,"AHMA","NY 54","02:54:288","00:54:256","true","false"
08,"VARSA","Baja Dash","02:55:505","00:53:135","true","false"
09,"ALDAMA757","Dr. Grudge","02:55:593","00:54:819","true","false"
10,"MATRIX","Vixen","02:57:176","00:57:742","true","false"
11,"BONCZY","Ultima","03:00:190","00:56:984","true","false"
12,"ZIGC","Dr. Grudge","03:01:336","00:55:371","true","false"
13,"&","Groovster","03:01:614","00:56:287","true","false"
14,"GREY","Mongoose","03:05:331","01:00:657","true","false"
15,"RADIANCER","Off Gear","03:06:429","00:58:027","true","false"
16,"OWEOWE","Mystery","03:11:335","00:53:972","true","false"
Results,"Metro-Volt",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"MATRIX","Vixen","03:00:675","00:56:320","true","false"
02,"BGM","Wild Ride","03:00:876","00:57:820","true","false"
03,"ERZU","Vixen","03:01:923","00:57:010","true","false"
04,"ROG_97 MOBILE","Mystery","03:02:281","00:57:282","true","false"
05,"ALDAMA757","Dr. Grudge","03:04:052","00:59:222","true","false"
06,"KONDRAKOV67","Frograph","03:06:829","00:58:971","true","false"
07,"OWEOWE","Mystery","03:07:699","00:56:446","true","false"
08,"&","Groovster","03:09:639","00:59:025","true","false"
09,"IURI","Vixen","03:12:993","01:02:708","true","false"
10,"AHMA","NY 54","03:18:868","00:58:730","true","false"
11,"GREY","Mongoose","03:20:034","01:05:653","true","false"
12,"BONCZY","Ultima","03:23:117","01:04:754","true","false"
13,"RADIANCER","Off Gear","03:40:081","01:02:167","true","false"
14,"KILABARUS","Kyarus","03:58:620","00:54:160","true","false"
Results,"Museum 3",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","02:27:415","00:46:978","true","false"
02,"KONDRAKOV67","Frograph","02:43:657","00:48:396","true","false"
03,"ROG_97 MOBILE","Mystery","02:46:377","00:51:957","true","false"
04,"ERZU","Vixen","02:46:824","00:51:841","true","false"
05,"MATRIX","Vixen","02:53:280","00:55:835","true","false"
06,"OWEOWE","Mystery","02:54:048","00:52:621","true","false"
07,"GREY","Mongoose","02:54:500","00:54:905","true","false"
08,"BONCZY","Ultima","02:57:573","00:56:567","true","false"
09,"ALDAMA757","Dr. Grudge","02:58:189","00:57:634","true","false"
10,"IURI","Vixen","02:58:513","00:53:710","true","false"
11,"AHMA","NY 54","02:59:000","00:49:122","true","false"
12,"&","Groovster","03:01:665","00:56:633","true","false"
13,"KILABARUS","Kyarus","03:03:911","00:59:995","true","false"
14,"RADIANCER","Off Gear","03:07:919","00:57:277","true","false"
Results,"Toys in the Hood 2",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","02:18:829","00:43:282","true","false"
02,"ROG_97 MOBILE","Mystery","02:39:729","00:50:255","true","false"
03,"IURI","Vixen","02:41:987","00:51:372","true","false"
04,"MATRIX","Vixen","02:44:189","00:51:944","true","false"
05,"&","Groovster","02:44:459","00:53:405","true","false"
06,"KILABARUS","Kyarus","02:44:583","00:51:131","true","false"
07,"OWEOWE","Mystery","02:47:587","00:53:570","true","false"
08,"ALDAMA757","Dr. Grudge","02:48:311","00:50:337","true","false"
09,"GREY","Mongoose","02:51:331","00:54:096","true","false"
10,"KONDRAKOV67","Frograph","02:51:364","00:53:172","true","false"
11,"BONCZY","Ultima","02:51:958","00:50:047","true","false"
12,"RADIANCER","Off Gear","02:53:134","00:55:035","true","false"
13,"AHMA","NY 54","02:56:752","00:55:174","true","false"
Results,"SuperMarket 1 R",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KILABARUS","Kyarus","02:00:632","00:38:407","true","false"
02,"IURI","Vixen","02:03:351","00:39:657","true","false"
03,"BGM","Wild Ride","02:08:083","00:41:148","true","false"
04,"LOQ","Wild Ride","02:08:733","00:38:662","true","false"
05,"ALDAMA757","Dr. Grudge","02:15:163","00:40:661","true","false"
06,"KONDRAKOV67","Frograph","02:15:879","00:43:034","true","false"
07,"RADIANCER","Off Gear","02:19:792","00:41:800","true","false"
08,"AHMA","NY 54","02:19:980","00:38:478","true","false"
09,"GREY","Mongoose","02:21:318","00:40:476","true","false"
10,"&","Groovster","02:22:731","00:41:240","true","false"
11,"BONCZY","Ultima","02:24:190","00:42:259","true","false"
12,"ROG_97 MOBILE","Mystery","02:29:479","00:38:914","true","false"
13,"MATRIX","Vixen","02:29:520","00:47:009","true","false"
14,"OWEOWE","Mystery","02:30:646","00:41:690","true","false"
Results,"Best-Milk Farm",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KILABARUS","Kyarus","01:28:720","00:28:397","true","false"
02,"RADIANCER","Off Gear","01:31:589","00:27:119","true","false"
03,"AHMA","NY 54","01:32:484","00:28:107","true","false"
04,"GREY","Mongoose","01:32:949","00:28:979","true","false"
05,"ALDAMA757","Dr. Grudge","01:36:752","00:30:092","true","false"
06,"ROG_97 MOBILE","Mystery","01:37:441","00:29:665","true","false"
07,"&","Groovster","01:38:470","00:29:348","true","false"
08,"MATRIX","Vixen","01:40:569","00:29:523","true","false"
09,"IURI","Vixen","01:41:323","00:29:524","true","false"
10,"OWEOWE","Mystery","01:42:261","00:28:844","true","false"
11,"KONDRAKOV67","Frograph","01:42:766","00:32:119","true","false"
12,"BGM","Wild Ride","01:43:784","00:30:529","true","false"
13,"BONCZY","Ultima","01:44:202","00:31:911","true","false"
14,"LOQ","Wild Ride","01:46:368","00:32:415","true","false"
Results,"Jailhouse Rock",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"IURI","Vixen","03:08:515","00:58:727","true","false"
02,"MATRIX","Vixen","03:15:243","01:00:218","true","false"
03,"KILABARUS","Kyarus","03:18:792","01:03:109","true","false"
04,"BGM","Wild Ride","03:21:491","01:03:574","true","false"
05,"ALDAMA757","Dr. Grudge","03:26:468","01:04:027","true","false"
06,"GREY","Mongoose","03:28:239","01:03:087","true","false"
07,"KONDRAKOV67","Frograph","03:29:134","01:03:657","true","false"
08,"ROG_97 MOBILE","Mystery","03:29:646","01:04:001","true","false"
